irumeng	iru(N)^[Abl_Mod.Sg]
paagkenguuq	paagken(DEM.ADV.Abl_Mod)^~:(ng)u(N→V)^[Ind.Intr]^[3Sg]
ikevaghmeng	ikevagh(N)^[Abl_Mod.Sg]
eltughwani	eltughagh*(N)^[Abs.4SgPoss.Sg]
kavyuguutegipenateng	kavyuguute(V)^@–nghite(V→V)^[Sbrd.Intr]^[4Pl]
yitaqa	yite(V)^[Ind.Trns]^[1Sg.3Sg]
kaaslampet	kaaslampe(N)^[Abs.Pl]
qaamnnemteki	qaame(V)^[Ctmp.Trns]^[1Pl.3Pl]
nanilgughngaamta	nanilghagh(N)^~fnga(POS→STATIVE)^[1Pl]
nanilgughngaamta	nanilghagh(N)^~fnga(POS→STATIVE)^[1Pl]
kalefqutet	kalefqute(N)^[Abs.Pl]
pugnatangi	pugnaate(V)^[Abs.3SgPoss.Pl]
pugnatangi	pugnaate(V)^[Abs.3SgPoss.Pl]
asilighneghanilnguut	asi(N):^–ligh(N→V)^[Ctmp.Intr]^[3Sg]^[Ptcp.Intr]^[3Pl]
kisaagut	kisaate(N)^[Ind.Intr]^[3Pl]
kisaagut	kisaate(N)^[Ind.Intr]^[3Pl]
pugnaaqegllak	pugnaate(N)^~(g)aqe(V→V)^–ghllag(V→N)^[Abs.Sg]
Pertu	Pertu(N)^[Abs.Sg]
kalevneghagllak	kaleve(V)^@~f–negh(V→N)^–ghllag(N→N)^[Abs.Sg]
kavyuguutegi-penateng	kavyuguute(V)^@–nghite(V→V)^[Sbrd.Intr]^[4Pl]
awazigi	awazigh(N)^[Abs.3SgPoss.Pl]
awazigi	awazigh(N)^[Abs.3SgPoss.Pl]
Pertum	Pertu(N)^[Rel.Sg]
tagilaghaasimalghiit	tagi(V)^~f-laghate(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Pl]
agaghluteng	agaghte(V)^[Sbrd.Intr]^[4Pl]
uyughwani	uyughagh*(N)^[Abs.4SgPoss.Sg]
sayugwaa	sayug(V)^[Ind.Trns]^[3Sg.3Sg]
kaagtughluku	kaagtugh(V)^[Sbrd.Trns]^[_.3Sg]
eltughwani	eltughagh*(N)^[Abs.4SgPoss.Pl]
nepaghqelliit	nepagh(V)^+qe(V→V)^–llegh(V→N)^[Abs.3PlPoss.Pl]
kepkaghyightut	kepkagh(V)^@~fyagh(V→V)^[Ind.Intr]^[3Pl]
igkamsuwaa	igkamsug(V)^[Ind.Trns]^[3Sg.3Sg]
igkaghaghaa	iigkaghagh(V)^[Ind.Trns]^[3Sg.3Sg]
itemtigu	iteme(V)^[Opt.Pres.Trns.2Sg.3Sg]
ilemtigu	ileme(V)^[Opt.Pres.Trns.2Sg.3Sg]
akuwaaghtaq	akugaagh(PTCL)^+tagh(N→V)^[Abs.Sg]
akuwaaghtaq	akugaagh(PTCL)^+tagh(N→V)^[Abs.Sg]
taanangwaaquq	[Anaphor]^whaa(DEM.PRO.Abs.Sg)^~–(ghw/ngw/w)aagh(V→V)^[Ind.Intr]^[3Sg]
tugunghiighaquq	tugunegh(N)^~:(ng)igh(N→V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]
sufluwani	suflugagh(N)^[Loc.Pl]
igataghlequten	igatagh(V)^@lleqe(V→V)^[Ind.Intr]^[2Sg]
agaghluteng	agaghte(V)^[Sbrd.Intr]^[4Pl]
naagu	na(WH)^[Intrg.Trns]^[2Pl.3Sg]
naagu	na(WH)^[Intrg.Trns]^[2Pl.3Sg]
Pertunkunun	Pertu(N)^~sf-w:(e)nku(N→N)^[All.Sg]
nuligha	nulighh(N)^[Abs.3SgPoss.Sg]
estuwaghmi	estugagh*(N)^[Loc.Sg]
allgegbvigani	allgeghvig(N)^[Loc.3SgPoss.Sg]
akmagusiq	akmagu(V)^~:(u)sigh(V→N)^[Abs.Sg]
anʼgighluni	an'gigh(V)^[Sbrd.Intr]^[4Sg]
kiimlluguuq	kiimllug(POS)^~:(ng)u(V→V)^[Ind.Intr]^[3Sg]
kumangaghngaaghmek	kumagh(V)^~fnga(V→V)^[Conc.Intr]^[4Du]
mamleyaaghuftuq	mamleg(V)^@~fyaaghagh(V→V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]
tuwaa	tugu(V)^[Ind.Trns]^[3Sg.3Sg]
awavaqaanlenguq	awavaqaanlenguq(PTCL)
milughnaqutnginaq	milugh(V)^@~fnaqute(V→V)^~:(ng)inagh*(N→N)^[Abs.Sg]
angalqataghagh-lluku	angalqatagh(V)^~aghte(V→V)^[Sbrd.Trns]^[_.3Sg]
mughusi-malghii	mughute(V)^@~:(i/u)ma(V→V)^@–lghii(V→N)^[Abs.Sg]
ellnginaghhaalghii	ellnginagh*(QUANTQUAL)^–ghhagh*(N→N)^@–lghii(V→N)^[Abs.Sg]
aghnaghaghpaggaaghtekaq	aghnaghagh*(N)^+paggagh(N→N)^~:(ng)ughte(N→V)^@~–(g)kagh(V→N)^[Abs.Sg]
kaamenganeng	kaame(N)^[Abl_Mod.3SgPoss.Sg]
taakwegkutgun	[Anaphor]^ukegku(DEM.PRO)^[Prl.Pl]
anʼgiqriqluni	an'giqragh(V)^––iqe(V→V)^[Sbrd.Intr]^[4Sg]
anʼgighngaaghmi	an'gigh(V)^[Conc.Intr]^[4Sg]
sak-maa-nii-nguuq	sakmani(DEM.ADV.Loc)^~:(ng)u(N→V)^[Ind.Intr]^[3Sg]
sak-maa-nii-nguuq	sakmani(DEM.ADV.Loc)^~:(ng)u(N→V)^[Ind.Intr]^[3Sg]
iitghelten	itegh(V)^[Opt.Pres.Intr]^[1Pl]
tawavek	[Anaphor]^awavek(DEM.ADV.All)
pilaataghtughnguq	pi(V)^@~flaatagh(V→V)^+tugh(V→V)^@ngugh(V→N)^[Abs.Sg]
maatenllaam	maatenllaam(PTCL)
avelghaghaak	avelghagh(V)^[Ind.Trns]^[3Sg.3Du]
tespikapighqaaghluku	tespikapighqaagh(V)^[Sbrd.Trns]^[_.3Sg]
sak-paa-tii-kuuq	sakmani(DEM.ADV.Loc)^~:(ng)u(N→V)^[Ind.Intr]^[3Sg]
sakpa	sakma(DEM.ADV)
utaaq	utaagh(N)^[Abs.Sg]
ii-maa	iime(V)^[Ind.Trns]^[3Sg.3Sg]
ii-paa	iime(V)^[Ind.Trns]^[3Sg.3Sg]
aghulaquu-si-maat	aghulaqe(V)^~(q/t)uute(V→V)^@~:(i/u)ma(V→V)^[Ind.Intr]^[3Pl]
aghulaquu-si-paat	aghulaqe(V)^~(q/t)uute(V→V)^@~:(i/u)ma(V→V)^[Ind.Intr]^[3Pl]
iitgheltet	itegh(V)^[Opt.Pres.Intr]^[1Pl]
peqsaghtaa	meqsaghtugh(V)^[Opt.Pres.Intr.2Sg]
iitqaghutkelluku	itegh(V)^~–qagh(V→V)^@~:(u)tke(V→V)^[Sbrd.Trns]^[_.3Sg]
tutemqaghqameng	tutemqagh(N)^+kagh(N→N)^[Abl_Mod.Sg]
tespikna	[Anaphor]^piikna(DEM.PRO.Abs.Sg)
taanangutanga	[Anaphor]^whaa(DEM.PRO.Abs.Sg)^~:(ng)u(N→V)^@~:(u)te(V→N)^[Abs.3SgPoss.Sg]
akuziighaatalghii	akuzi(V)^+aghaghte(V→V)^[Ptcp.Intr]^[3Sg]
tugwaa	tugu(V)^[Ind.Trns]^[3Sg.3Sg]
naagu	na(WH)^[Intrg.Trns]^[2Pl.3Sg]
naagu	na(WH)^[Intrg.Trns]^[2Pl.3Sg]
taananguftuq	[Anaphor]^whaa(DEM.PRO.Abs.Sg)^~:(ng)u(N→V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]
aliinghakuun	aliinegh(N)^[Prl.3SgPoss.Sg]
amsanaakuun	amsanagh(N)^[Prl.3SgPoss.Sg]
kenlengitgun	kelenga(V)^[Prl.3PlPoss.Sg]
tamaagaa	tamaa(V)^[Ind.Trns]^[3Sg.3Sg]
teghiis-tek	neghigh(V)^~:(ng)u(V→V)^+(s)ta(V→N)^[Abs.Pl]
asitum	asi(AREA)^[All.Sg]
aya-ya-luuk	aya-ya-luuk(XCLM)
ku-uu-iiya	ku-uu-iiya(XCLM)
qghuugh	qghuugh(XCLM)
aay	aay(PTCL)
ataasighhaghmeng	ataasigh(NUM)^–ghhagh*(N→N)^[Abl_Mod.Sg]
estugwenkami	estug(N)^[Abs.1SgPoss.Pl]^=mi
taakwagun	[Anaphor]^ukagun(DEM.ADV.Prl)
agigngalghiignekun	agigte(V)^~fnga(V→V)^@–lghii(V→N)^[Prl.Du]
alii-luuy-ngen	aliiluyngen(PTCL)
aliiluyngen	aliiluyngen(PTCL)
elaayngen	elaayngen(PTCL)
sinang-awen	sinang-awen(PTCL)
ku-uuy	kuuy(PTCL)
u-uuy	u-uuy(PTCL)
quq	quq(PTCL)
meteghllugwem	meteghllug(N)^[Rel.Sg]
iighhwnnaqaanga	iighwte(V)^@~fnaqe(V→V)^[Ind.Trns]^[3Sg.1Sg]
sayugwaa	sayug(V)^[Ind.Trns]^[3Sg.3Sg]
ufsughqutaqluni	ufsulqutagh(V)^[Sbrd.Intr]^[4Sg]
nagun	na(WH)^[Prl.Sg]
ayguqliignekun	aygughqligh*(N)^[Prl.Du]
elpegmi	elpeni(PRO.Loc.2Sg)
mallaaghhaanun	mallagh(N)^–ghhagh*(N→N)^[All.3SgPoss.Sg]
eslumun	eslugh(V)^[All.Sg]
ifkamalghii	ifkagh(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
taam	taam(PTCL)
tuqaaghesnaq	tuqu(V)^~f(a)ghesnagh(V→V)^[Abs.Sg]
nguugraghaak	nguugragh(V)^[Ind.Trns]^[3Sg.3Du]
neghaak	neghe(V)^[Ind.Trns]^[3Sg.3Du]
tunughllaguftughnguq	tunugh(N)^–ghllag(N→N)^~:(ng)u(N→V)^+(pete)fte(V→V)^+tugh(N→V)^[Ptcp.Intr]^[3Sg]
saaghhwaakun	saaghw(N)^[Prl.3SgPoss.Sg]
naanlluni	na(WH)^+nte(N→V)^[Sbrd.Intr]^[4Sg]
arekulngamnguq	arekull(PTCL)^=ngam^=nguq
paamnangakun	paamna(DEM.PRO.Abs.Sg)^[Prl.3SgPoss.Sg]
arekulngam	arekull(PTCL)^=ngam
tengugwenka	tengug(N)^[Abs.1SgPoss.Pl]
aangwllaasinka	aangwaagh(V)^~:(u)sigh(V→N)^[Abs.1SgPoss.Pl]
huk	huk(PTCL)
tulimiikun	tulimagh(N)^[Prl.Sg]
kalngagalleghqwaaq	kalngagagh(N)^–llegh(V→N)+kwaagh(N→N)^[Abs.Sg]
melqumsuwhiighusimakanga	melqugh(N)^–msuggagh*(N→N)^@~:(u)te(V→N)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
melqumsuwhiighusimakanga	melqugh(N)^–msuggagh*(N→N)^@~:(u)te(V→N)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
naangtengngwaaghluku	naangngwaaghagh(V)^[Sbrd.Trns]^[_.3Sg]
pugnaaqutkennanighsiki	pugnaaqute(N)^@~:(u)tke(V→V)^@~fnanigh(V→V)^[Intrg.Trns]^[2Sg.3Pl]
suflughragmeng	suflugh(N)^+raag(N→N)^[Abl_Mod.Sg]
teghhumaaqelghiinga	teghhute(V)^@~:(i/u)ma(V→V)^~(g)aqe(V→V)^@–lghii(V→N)^[Abs.3SgPoss.Sg]
teghhumasiqa	teghhute(V)^@~:(i/u)ma(V→V)^~:(u)sigh(V→N)^[Abs.1SgPoss.Sg]
tungtulugwem	tungtu(N)^–lug(N→N)^[Rel.Sg]
puqlaaqutet	puqlate(V)^~(g)aqe(V→V)^@~:(u)te(V→N)^[Rel.Pl]
suupeghlaguuq	suupe(V)^–ghllagu(V→V)^[Ind.Intr]^[3Sg]
iniighet	iniigh(N)^[Abs.Pl]
anuqatuq	anuqate(V)^[Ind.Intr]^[3Sg]
tawatetuq	tawate(V)^[Ind.Intr]^[3Sg]
qamiyngakun	qamiye(N)^[Prl.3SgPoss.Sg]
piyukenghinneghmegteki	piyuke(V)^@–nghite(V→V)^[Ctmp.Trns]^[4Pl.3Pl]
tuunyunghinneghmegteki	tuune(V)^@~f–yu(V→V)^@–nghite(V→V)^[Ctmp.Trns]^[4Pl.3Pl]
tuunyunghinniiqiit	tuune(V)^@~fyug(V→V)^@-nghite(V→V)^@~fniigh(V→V)^@~–(g)kagh(V→N)^[Abs.3PlPoss.Pl]
ighsaakaa	ighsake(V)^[Ind.Trns]^[3Sg.3Sg]
taagaveqaaghaq	[Anaphor]^aga(DEM.ADV)
tutmaghwaanqusiin	tutmaghwaagh(V)^@~f–negh(V→N)^@~:(u)te(V→N)^[Intrg.Intr.2Sg]
Tawavek	[Anaphor]^awavek(DEM.ADV.All)
Iistumii	Iistumii(N)^[Abs.Sg]
Qugtuqaghtuurughmii	Qugtuqaghtuurughmii(N)^[Abs.Sg]
Aghveghtughmii	Aghveghtughmii(N)^[Abs.Sg]
tallimaat	tallimat(NUM)
Ullungagtuuru	Ullungagtuuru(N)^[Abs.Sg]
tawanlluki	[Anaphor]^whaa(DEM.ADV.Loc)^[Sbrd.Trns]^[_.3Pl]
siqlugwaq	siqlugagh(N)^[Abs.Sg]
ugwinga	ugi(N)^[Abs.3SgPoss.Sg]
Iistumiim	Isistumii(N)^[Rel.Sg]
siqlugwaghqu	siqlugaghqu(V)^[Opt.Pres.Intr.2Sg]
ugwingan	ugi(N)^[Rel.3SgPoss.Sg]
siqlugwani	siqlugagh(N)^[Loc.Pl]
ugwini	ugi(N)^[Abs.4SgPoss.Sg]
aay	aay(PTCL)
uqesqaghhaghma	uqesqagh(N)^–ghhagh*(N→N)^[Rel.1SgPoss.Sg]
Iistumiinkut	Iistumii(N)^~sf-w:(e)nku(N→N)^[Abs.Pl]
Aghveghtughmiinkut	Aghveghtughmii(N)^~sf-w:(e)nku(N→N)^[Abs.Pl]
Ullungagtuurunkut	Ullungagtuuru(N)^~sf-w:(e)nku(N→N)^[Abs.Pl]
naangsimiit	naange(V)^+te(V→V)^@~:(i/u)ma(V→V)^[Ind.Trns]^[3Du.1Pl]
qeteghaghtuq	qetegh(POS)^~aghte(V→V)^[Ind.Intr]^[3Sg]
maketengngaay	makete(V)^[Opt.Pres.Trns]^[2Pl.1Sg]^[Voc.Sg]
maketengngaay	makete(V)^[Opt.Pres.Trns]^[2Pl.1Sg]^[Voc.Sg]
ngaay	ngaay(XCLM)
taawanlengughnguq	tawanlenguq(PTCL)=nguq
ugwatangani	uga(DEM.ADV)^+ta(DEM→N)^[Loc.3SgPoss.Sg]
taam	taam(PTCL)
Qughrughaam	Qughrughagh(N)^[Rel.Sg]
Kuyapegrugaaghem	Kuyapergrugaagh(N)^[Rel.Sg]
esghapaghngaaghmigu	esghapag(V)^[Conc.Trns]^[4Sg.3Sg]
piniqaaghtaa	piniqe(V)^~aghte(V→V)^[Ind.Trns]^[3Sg.3Sg]
aqumesimakanga	aqume(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
nalugumakestaamaluku	nalug(V)^@~:(i/u)ma(V→N)^–kestagh(V→V)^@~:(i/u)ma(V→V)^[Sbrd.Trns]^[_.3Sg]
meteghllugwem	meteghllug(N)^[Rel.Sg]
anipaay	anipa(N)^[Voc.Sg]
naagu	na(WH)^[Intrg.Trns]^[2Pl.3Sg]
naagu	na(WH)^[Intrg.Trns]^[2Pl.3Sg]
qghwaaghwq	qghwaaghwq(PTCL)
ii	ii(PTCL)
akiingqwaghtaghii	akiingqwaghte(V)^[Ind.Trns]^[3Sg.3Pl]
uqitaqestaghngaan	uqigh(V)^+tagh(V→V)^–kestagh(V→V)^[Conc.Intr]^[3Sg]
yuwhaghnguq	yuwhagh(N)^[Abs.Sg]^=nguq
unangupiglluku	unaangu(V)^–pigte(V→V)^[Sbrd.Trns]^[_.3Sg]
esnighqwataamalghii	esnighqwagh(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
qalghilqwaaghaghaqelghii	qalghigh(V)^~–qaghaqe(V→V)^~(g)aqe(V→V)^[Ptcp.Intr]^[3Sg]
qalghilqwaaghaghaqelghii	qalghigh(V)^~–qaghaqe(V→V)^~(g)aqe(V→V)^[Ptcp.Intr]^[3Sg]
aqnighqwaaluni	aqnighqe(V)^~–(ghw/ngw/w)aagh(V→V)^[Sbrd.Intr]^[3Sg]
tawatestaghhinaq	tawatestaghhiinaq(PTCL)
yuwhaam	yughagh(N)^[Rel.Sg]
naantulnga	naantulnga(PTCL)
itegaghhiini	itegagh(N)^–ghhagh*(N→N)^~:(ng)inagh*(N→N)^[Abs.3SgPoss.Pl]
mulaqumaluku	mulaagh(V)^–qu(V→V)^@~:(i/u)ma(V→V)^[Sbrd.Trns]^[_.3Sg]
tawavek	[Anaphor]^awavek(DEM.ADV.All)
utaaqaa	utaqa(V)^[Ind.Trns]^[3Sg.3Sg]
yataaghqengngwaaghluni	yataaghqe(V)^~–(ghw/ngw/w)aagh(V→V)^[Sbrd.Intr]^[4Sg]
quyam	quya(V)^[Rel.Sg]
yugwem	yug(N)^[Rel.Sg]
yuwhaq	yuwhagh(N)^[Abs.Sg]
sukaaghtaa	suka(N)^–ghte(N→V)^[Ind.Trns]^[3Sg.3Sg]
maateqwaaqun	maateqwaaqun(PTCL)
quyaalaataghtuq	quya(V)^@~flaatagh(V→V)^[Ind.Intr]^[3Sg]
akileghtumakanga	akileghtugh(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
sukaghimeng	sukaghi(V)^[Abl_Mod.Sg]
depends	depends(V)
on	on(PP)
uusluki	uulte(V)^[Sbrd.Trns]^[_.3Pl]
piyunemteki	piyug(V)^[Ctmp.Trns]^[1Pl.3Pl]
neghsatiu	neghsagh(N)^[Abs.Pl]^=llu
mash	mash(ADJ)
bowl-kun	bowl(N)^[Prl.Sg]
sakarameng	sakara(N)^[Abl_Mod.Sg]
angurghaallukek	angurghaate(V)^[Sbrd.Trns]^[_.3Du]
sakara	sakara(N)^[Abs.Sg]
package-k	package(N)^[Abs.Du]
yeast-ak	yeast(N)^[Abs.Du]
tawavek	[Anaphor]^awavek(DEM.ADV.All)
palaqaniiluku	palaqanite(N)^[Sbrd.Trns]^[_.3Sg]
palaqaniiluku	palaqanite(N)^[Sbrd.Trns]^[_.3Sg]
pengughughlluki	pengugh(N)^~:(ng)ughte(N→V)^[Sbrd.Trns]^[_.3Sg]
alquutaghpaget	alquutagh(N)^+pag(N→N)^[Abs.Pl]
sakaramun	sakara(N)^[All.Sg]
parankugnun	para(N)^~sf-w:(e)nku(N→N)^[All.Pl]
sakarankugnun	sakara(N)^~sf-w:(e)nku(N→N)^[All.Pl]
sakarankugnun	sakara(N)^~sf-w:(e)nku(N→N)^[All.Pl]
angurghaalluku	angurghaate(V)^[Sbrd.Intr]^[4Sg]
fresh	fresh(ADJ)
milk-meng	milk(N)^[Abl_Mod.Sg]
dry	dry(ADJ)
milk	milk(N)^[Abs.Sg]
yeast-allu	yeast(N)^=llu
nunmaawhaq	nunmaaggaq(PTCL)
eggbeater-elgukuvek	eggbeater(N)^e(YUPIKALIZER)^–lgu(N→V)^[Cond.Intr]^[2Sg]
electric	electric(ADJ)
beater-elgukuvek	beater(N)^e(YUPIKALIZER)^–lgu(N→V)^[Cond.Intr]^[2Sg]
angurghaannaken	angurghaate(V)^[Opt.Fut.Trns]^[2Sg.3Sg]
beater-meng	beater(N)^[Abl_Mod.Sg]
sangighquusimeng	sangighqugh(V)^~:(u)sigh(V→N)^[Abl_Mod.Sg]
vegllumeng	vegllug(N)^[Abl_Mod.Sg]
efluugalget	eflugagh(N)^–leg(N→N)^[Abs.Pl]
amiqsaqanganeng	amigh(N)^~–ke(N→V)^@~fyagh(V→V)^@~–(g)kagh(V→N)^[Abl_Mod.3SgPoss.Sg]
sangwat	sa(N)^~:(ng)u(N→V)^[Intrg.Intr]^[3Pl]
sangaawatii	sa(N)^~:(ng)u(N→V)^[Intrg.Intr]^[3Pl]^=lli
puygaanka	puygu(V)^[Ind.Trns]^[1Sg.3Pl]
puyuqerugaqegkangi	puyuqe(V)^–ghrug(V→V)^~(g)aqe(V→V)^[Ptcp.Trns]^[3Sg.3Pl]
maanaaqluki	maana(DEM.PRO.Abs.Sg)^~(g)aqe(V→V)^[Sbrd.Trns]^[_.3Pl]
aqlaghaghraagmi	aqlagha(N)^–ghraag(V→V)^[Loc.Sg]
qateghraketun	qateghrakegtagh(N)^[Equ.Sg]
supelgaghluteng	supelghagh(V)^[Sbrd.Intr]^[4Pl]
tanughqengngwaaghaqegkangit	tanughqe(V)^~−(ghw/ngw/w)aagh(V→V)^~(g)aqe(V→V)^[Ptcp.Trns]^[3Pl.3Pl]
nekegsaghwaaghaqelghiit	ne(N)^~–kegte(N→V)^+sagh(V→V)^~–(ghw/ngw/w)aagh(V→V)^~(g)aqe(V→V)^[Ptcp.Intr]^[3Pl]
engkangaam	enkaamngam(PTCL)
engkaangam	enkaamngam(PTCL)
aftanemteki	afta(V)^[Ctmp.Trns]^[1Pl.3Pl]
mesiighiitngwaaghluki	mesiigh(N)^~:(ng)ite(N→V)^~–(ghw/ngw/w)aagh(V→V)^[Sbrd.Trns]^[_.3Pl]
clothesline-kun	clothesline(N)^[Prl.Sg]
niightughaqhiki	niightugh(V)^~(g)aqe(V→V)^[Sbrd.Trns]^[_.3Pl]
pellughiki	pellug(V)^[Sbrd.Trns]^[_.3Pl]
maalghut	maalghug(NUM)^[Abs.Pl]
naalkakluku	naalkagh(N)^~–ke(N→V)^[Sbrd.Trns]^[_.3Sg]
zipper-elighluki	zipper(N)^e(YUPIKALIZER)^–ligh(N→V)^[Sbrd.Trns]^[_.3Pl]
ughfigi	ughhe(V)^@~fvig(V→N)^[Abs.3SgPoss.Pl]
qiipaghaghhaglimeng	qiipagh(N)^–ghhagh*(N→N)^[Abl_Mod.Sg]
nungighsigliluki	nungighte(N)^@sigh(N→V)^[Sbrd.Trns]^[_.3Pl]
nungighsigliluki	nungighte(N)^@sigh(N→V)^[Sbrd.Trns]^[_.3Pl]
angtalngakun	angtala(N)^[Prl.3SgPoss.Sg]
qulliget	qullig(V)^[Abs.Pl]
ilepghaaghes	ilepghaagheg(N)^[Abs.Pl]
ilepghaaghet	ilepghaagheg(N)^[Abs.Pl]
yearling-et	yearling(N)^[Abs.Pl]
ilepghaangllaghaqut	ilepghaagheg(N)^–ngllagh(N→V)^~(g)aqe(V→V)^[Ind.Intr]^[3Pl]
yukutaghraaggneghata	yukutate(V)^–ghraagte(V→V)^[Ctmp.Intr]^[3Pl]
petlugaqiit	pellug(V)^~(g)aqe(V→V)^[Ind.Trns]^[3Pl.3Pl]
uniilliighaghaqut	uniilliighaghte(V)^~(g)aqe(V→V)^[Ind.Intr]^[3Pl]
uniilliighallghitnun	uniilliighaghte(V)^–llegh(V→N)^[All.3PlPoss.Pl]
uniilliighaneghata	uniilliighaghte(V)^[Ctmp.Intr]^[3Pl]
kavighvaagmeng	kavighyaag(N)^[Abl_Mod.Sg]
maananayukata	maana(DEM.PRO.Abs.Sg)^[Volitive.Of.Fear]^[3Pl]
lliighqellghiit	liighqe(V)^[Ptcp.Intr]^[3Pl]
nallukekanighanka	nalluke(V)^~–kanigh(V→V)^[Ind.Trns]^[1Sg.3Pl]
tuungghughlluteng	tunge(N)^–ghte(N→V)^[Sbrd.Intr]^[4Pl]
esnelaagusighluki	esnelaaghute(V)^@sigh(N→V)^[Sbrd.Trns]^[_.3Pl]
qiipaghaghhaghmeag	qiipagh(N)^–ghhagh*(N→N)^[Abl_Mod.Sg]
temkaam	temkag(N)^[Rel.Sg]
qamanlluki	qamani(DEM.ADV.Loc)^[Sbrd.Trns]^[_.3Pl]
kamegkat	kameg(N)^+kagh(N→N)^[Abs.Pl]
mesiivreghaghtenghata	mesiigh(N)^–vreghagh(N→N)^+te(N→V)^[Ctmp.Intr]^[3Pl]
brush-aqaput	brush(V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
soap-elighluki	soap(N)^e(YUPIKALIZER)^–ligh(N→V)^[Sbrd.Trns]^[_.3Pl]
brush-eluki	brush(V)^e(YUPIKALIZER)^[Sbrd.Trns]^[_.3Pl]
yuqutaghtesqelluki	yuqutagh(N)^+te(N→V)^~sf:(e)sqe(CmpdVbl)^[Sbrd.Trns]^[_.3Pl]
yuqutaghhneghata	yuqutagh(N)^[Ctmp.Intr]^[3Pl]
temkagkat	temkag(N)^+kagh(N→N)^[Abs.Pl]
sanaghhnemteki	sanaghte(V)^[Ctmp.Trns]^[1Pl.3Pl]
taaqnemteki	taaqe(V)^[Ctmp.Trns]^[1Pl.3Pl]
melqwighaas	melqiighagh(N)^[Abs.Pl]
melqwighaas	melqiighagh(N)^[Abs.Pl]
melqwighaas	melqiighagh(N)^[Abs.Pl]
uygaaghqas	uygaagh(N)^+kagh(N→N)^[Abs.Pl]
amiiiii	amiiragh(N)^[Abs.3SgPoss.Pl]
iiknemteki	iike(V)^[Ctmp.Trns]^[1Pl.3Pl]
iixi	iigge(N)^[Abs.3SgPoss.Pl]
tawanlluki	[Anaphor]^whaa(DEM.ADV.Loc)^[Sbrd.Trns]^[_.3Pl]
uygaaghqat	uygaagh(N)^+kagh(N→N)^[Abs.Pl]
maalghuguluta	maalghug(NUM)^~:(ng)u(N→V)^[Sbrd.Trns]^[_.3Pl]
mehghluki	mesugh(N)^[Sbrd.Trns]^[_.3Pl]
mehghluki	mesugh(N)^[Sbrd.Trns]^[_.3Pl]
kenlangangwaallghit	kenlanga(PTCL)^~–(ghw/ngw/w)aagh(V→V)^[Ptcp.Intr]^[3Pl]
ughsighaqut	ughhe(V)^@sigh(V→V)^~(g)aqe(V→V)^[Ind.Intr]^[3Pl]
suggellghelguut	segge(V)^–llegh(V→N)^–lgu(N→V)^[Ind.Intr]^[3Pl]
suggellghelguut	segge(V)^–llegh(V→N)^–lgu(N→V)^[Ind.Intr]^[3Pl]
ghefeighnaqnemteki	gheve(V)^+sigh(V→V)^@~fnaqe(V→V)^[Ctmp.Trns]^[1Pl.3Pl]
ghefeighnaqnemteki	gheve(V)^+sigh(V→V)^@~fnaqe(V→V)^[Ctmp.Trns]^[1Pl.3Pl]
ghefsineghmeng	gheve(V)^+sigh(V→V)^@~f–negh(V→N)^[Rel.4PlPoss.Sg]
kakilaghaqaput	kakilagh(V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
ukimallghelgellghiit	uki(V)^@~:(i/u)ma(V→V)^–llegh(V→N)^–lgu(N→V)^[Ptcp.Intr]^[3Sg]
kakilaghluki	kakilagh(V)^[Sbrd.Trns]^[_.3Pl]
naasqwi	naasqugh(N)^[Abs.3SgPoss.Pl]
qaamkungitneng	qaamku(DEM.PRO)^[Abl_Mod.3PlPoss.Pl]
uygaaghqam	uygaagh(N)^+kagh(N→N)^[Rel.Sg]
taam	taam(PTCL)
ukimallghelgimayukata	uki(V)^@~:(i/u)ma(V→V)^–llegh(V→N)^–lgu(N→V)^[Volitive.Of.Fear]^[3Pl]
ukimallghelgimayukata	uki(V)^@~:(i/u)ma(V→V)^–llegh(V→N)^–lgu(N→V)^[Volitive.Of.Fear]^[3Pl]
kakisim	kaki(V)^~:(u)sigh(V→N)^[Rel.Sg]
qiipanghutaghhaaneng	qiipe(V)^@~f–negh(V→N)^@~:(u)ta(V→N)^–ghhagh*(N→N)^[Abl_Mod.Pl]
qiipanghutaghhaaneng	qiipe(V)^@~f–negh(V→N)^@~:(u)ta(V→N)^–ghhagh*(N→N)^[Abl_Mod.Pl]
ghuuqusighluki	ghuugh(V)^~:(u)sigh(V→N)^[Sbrd.Trns]^[_.3Pl]
